id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
32196,Hyperliquid,HYPE,hyperliquid,108,2024-07-15T10:14:50.000Z,"{decentralized-exchange-dex-token,defi,derivatives,layer-1,hyperliquid-ecosystem,binance-ecosystem,binance-listing}",1000000000.0,333928180.0,999993930.0,False,,11,333931719.0,12548058123.777296,,2025-06-25T07:13:00.000Z,37.57671826250592,299678958.9519199,-48.1985,0.7171932,-0.4045796,-6.56450896,-4.70269549,105.66808864,157.75951675,12547925139.771364,0.3828,37576718262.51,,2025-06-25T07:13:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-06-25 12:44:52.932190
1831,Bitcoin Cash,BCH,bitcoin-cash,1028,2017-07-23T00:00:00.000Z,"{mineable,pow,sha-256,marketplace,medium-of-exchange,store-of-value,enterprise-solutions,payments,bitcoin-cash-ecosystem,layer-1,2017-2018-alt-season,made-in-america,binance-ecosystem,binance-listing}",21000000.0,19888462.5,19888462.5,False,,12,,,,2025-06-25T07:13:00.000Z,480.09816685046354,521319101.1779253,14.1844,0.92158013,4.39305342,2.1199231,12.42125827,29.25889509,42.51562477,9548414387.724188,0.2913,10082061503.86,,2025-06-25T07:13:00.000Z,,,,,,2025-06-25 12:44:52.932190
20947,Sui,SUI,sui,688,2022-07-12T08:03:11.000Z,"{binance-launchpool,coinbase-ventures-portfolio,binance-labs-portfolio,electric-capital-portfolio,a16z-portfolio,sui-ecosystem,layer-1,move-vm,cmc-crypto-yearbook-2024-2025,made-in-america,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",10000000000.0,3396671135.3644433,10000000000.0,False,,13,3396671135.36,9508647291.251047,,2025-06-25T07:12:00.000Z,2.7994018002697403,1068634060.9786147,-45.0431,0.89711187,-2.38293432,-2.05594543,-23.51528474,-22.18687113,3.52892924,9508647291.263485,0.29,27994018002.7,,2025-06-25T07:12:00.000Z,,,,,,2025-06-25 12:44:52.932190
1975,Chainlink,LINK,chainlink,2024,2017-09-20T00:00:00.000Z,"{platform,defi,oracles,smart-contracts,ethereum-ecosystem,polkadot,heco-ecosystem,avalanche-ecosystem,solana-ecosystem,framework-ventures-portfolio,polygon-ecosystem,fantom-ecosystem,cardano-ecosystem,terra-ecosystem,web3,near-protocol-ecosystem,arbitrum-ecosystem,cross-chain,cardano,injective-ecosystem,bnb-chain-ecosystem,optimism-ecosystem,real-world-assets,gnosis-chain-ecosystem,sora-ecosystem,hoo-smart-chain-ecosystem,milkomeda-ecosystem,energi-ecosystem,made-in-america,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",,678099970.4527867,1000000000.0,False,,14,,,,2025-06-25T07:13:00.000Z,13.375326215623875,515013121.18581843,-12.4549,0.72787783,1.04703445,2.44606826,-15.93944868,-11.8135174,-14.80848818,9069808311.610933,0.2767,13375326215.62,,2025-06-25T07:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-06-25 12:44:52.932190
3957,UNUS SED LEO,LEO,unus-sed-leo,61,2019-05-21T00:00:00.000Z,"{marketplace,centralized-exchange,discount-token,payments,ethereum-ecosystem,kenetic-capital-portfolio,alameda-research-portfolio}",,923177120.9,985239504.0,False,,15,,,,2025-06-25T07:13:00.000Z,9.023517672841415,2014002.29074053,-32.6307,0.09511857,-1.22212322,-1.66520629,1.4466315,-0.291379,-7.49941255,8330305065.604005,0.2541,8890326076.33,,2025-06-25T07:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-06-25 12:44:52.932190
1,Bitcoin,BTC,bitcoin,12228,2010-07-13T00:00:00.000Z,"{mineable,pow,sha-256,store-of-value,state-channel,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,galaxy-digital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,bitcoin-ecosystem,layer-1,ftx-bankruptcy-estate,2017-2018-alt-season,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",21000000.0,19883162.0,19883162.0,False,,1,,,,2025-06-25T07:15:00.000Z,106438.92269075883,47130769818.29969,-28.1561,0.19394978,0.8108218,1.4756595,-3.09600972,12.30549117,21.80344942,2116342342965.8337,64.5594,2235217376505.94,,2025-06-25T07:15:00.000Z,,,,,,2025-06-25 12:45:53.844664
1027,Ethereum,ETH,ethereum,10357,2015-08-07T00:00:00.000Z,"{pos,smart-contracts,ethereum-ecosystem,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,ethereum-pow-ecosystem,layer-1,ftx-bankruptcy-estate,sora-ecosystem,rsk-rbtc-ecosystem,world-liberty-financial-portfolio,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",,120718763.3691325,120718763.3691325,True,,2,,,,2025-06-25T07:15:00.000Z,2443.7704226149463,18221047006.455944,-28.8443,0.26573434,0.94689094,-3.0918858,-5.5564342,34.99579127,20.49864199,295008943376.1386,8.9993,295008943376.14,,2025-06-25T07:15:00.000Z,,,,,,2025-06-25 12:45:53.844664
825,Tether USDt,USDT,tether,133808,2015-02-25T00:00:00.000Z,"{stablecoin,asset-backed-stablecoin,usd-stablecoin,ethereum-pow-ecosystem,fiat-stablecoin,tron20-ecosystem,rsk-rbtc-ecosystem,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",,156342070025.30093,159826220711.0572,True,,3,,,,2025-06-25T07:14:00.000Z,1.0004793013213031,69872443611.11136,-31.8077,0.00216595,-0.0290121,0.01725218,0.01550194,0.01340647,0.03127537,156417004986.03934,4.7715,159902825629.82,,2025-06-25T07:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-06-25 12:45:53.844664
52,XRP,XRP,xrp,1632,2013-08-04T00:00:00.000Z,"{medium-of-exchange,enterprise-solutions,xrp-ecosystem,arrington-xrp-capital-portfolio,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio,ftx-bankruptcy-estate,2017-2018-alt-season,klaytn-ecosystem,made-in-america,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",100000000000.0,58938652386.0,99986013292.0,False,,4,,,,2025-06-25T07:14:00.000Z,2.180818400196986,3045798563.937334,-37.7983,0.27937763,-0.40972475,1.26219796,-7.44513017,-2.00512452,-7.74356701,128534497606.2028,3.921,218081840019.7,,2025-06-25T07:14:00.000Z,,,,,,2025-06-25 12:45:53.844664
1839,BNB,BNB,bnb,2592,2017-07-25T00:00:00.000Z,"{marketplace,centralized-exchange,payments,smart-contracts,alameda-research-portfolio,multicoin-capital-portfolio,bnb-chain-ecosystem,layer-1,alleged-sec-securities,celsius-bankruptcy-estate,binance-ecosystem,binance-listing}",,140885745.27,140885745.27,False,,5,,,,2025-06-25T07:15:00.000Z,645.7044619741623,1601480170.6579478,-10.4241,0.18396995,0.66877281,-0.81762832,-4.29187641,6.72483378,1.64484853,90970554349.39424,2.7751,90970554349.39,,2025-06-25T07:15:00.000Z,,,,,,2025-06-25 12:45:53.844664
5426,Solana,SOL,solana,940,2020-04-10T00:00:00.000Z,"{pos,platform,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,alameda-research-portfolio,multicoin-capital-portfolio,okx-ventures-portfolio,layer-1,ftx-bankruptcy-estate,alleged-sec-securities,cmc-crypto-awards-2024,made-in-america,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",,531332405.5899855,603871598.2417777,True,,6,525236893.3,76826312197.36319,,2025-06-25T07:15:00.000Z,146.26983210313492,3379741768.882453,-42.0556,0.47431682,0.22557368,-0.65059493,-17.92583233,-3.9213008,5.46467856,77717901756.60196,2.3708,88328197286.68,,2025-06-25T07:15:00.000Z,,,,,,2025-06-25 12:45:53.844664
3408,USDC,USDC,usd-coin,28864,2018-10-08T00:00:00.000Z,"{medium-of-exchange,stablecoin,asset-backed-stablecoin,coinbase-ventures-portfolio,usd-stablecoin,ethereum-pow-ecosystem,fiat-stablecoin,tron20-ecosystem,made-in-america,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",,61786299751.48691,61786299751.48691,False,,7,60901219650.23,60901095895.02694,,2025-06-25T07:14:00.000Z,0.9999979679355557,11094636305.635012,-27.9204,0.00586523,-0.00035798,-0.00699899,0.02042395,0.01148363,0.0044371,61786174197.74404,1.8848,61786174197.74,,2025-06-25T07:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-06-25 12:45:53.844664
1958,TRON,TRX,tron,1190,2017-09-13T00:00:00.000Z,"{media,payments,tron-ecosystem,layer-1,dwf-labs-portfolio,alleged-sec-securities,2017-2018-alt-season,tron20-ecosystem,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",,94811166883.73604,94811201144.07063,True,,8,71659659264.0,19675574931.78583,,2025-06-25T07:15:00.000Z,0.2745697528270322,470797779.4640359,-36.2191,0.04815356,0.69829695,0.20683353,0.80639404,11.54290455,18.10839987,26032278656.509907,0.7941,26032288063.36,,2025-06-25T07:15:00.000Z,,,,,,2025-06-25 12:45:53.844664
74,Dogecoin,DOGE,dogecoin,1240,2013-12-15T00:00:00.000Z,"{mineable,pow,scrypt,medium-of-exchange,memes,payments,doggone-doggerel,osmosis-ecosystem,ftx-bankruptcy-estate,animal-memes,made-in-america,binance-ecosystem,binance-listing}",,149829566383.70526,149829566383.70526,True,,9,,,,2025-06-25T07:15:00.000Z,0.1664003150205057,916883275.4213674,-35.534,0.7421793,-0.03741841,-2.35976983,-27.41918557,-11.28738072,-15.63824752,24931687045.634327,0.7605,24931687045.63,,2025-06-25T07:15:00.000Z,,,,,,2025-06-25 12:45:53.844664
2010,Cardano,ADA,cardano,1534,2017-10-01T00:00:00.000Z,"{dpos,pos,platform,research,smart-contracts,staking,cardano-ecosystem,cardano,layer-1,alleged-sec-securities,2017-2018-alt-season,made-in-america,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",45000000000.0,35372023764.01945,44995088366.06753,False,,10,,,,2025-06-25T07:15:00.000Z,0.5822829794393608,669926413.9544173,-41.6114,0.30948536,-1.52501818,-5.03425974,-24.36914037,-20.08592437,-21.35157143,20596527386.113117,0.6283,26202734074.77,,2025-06-25T07:15:00.000Z,,,,,,2025-06-25 12:45:53.844664
32196,Hyperliquid,HYPE,hyperliquid,108,2024-07-15T10:14:50.000Z,"{decentralized-exchange-dex-token,defi,derivatives,layer-1,hyperliquid-ecosystem,binance-ecosystem,binance-listing}",1000000000.0,333928180.0,999993930.0,False,,11,333931719.0,12549269623.977299,,2025-06-25T07:14:00.000Z,37.58034625029825,299684281.3441559,-48.1937,0.72180578,-0.37892768,-6.48858602,-4.61824371,105.69199525,157.75695858,12549136627.131918,0.3828,37580346250.3,,2025-06-25T07:14:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-06-25 12:45:53.844664
1831,Bitcoin Cash,BCH,bitcoin-cash,1028,2017-07-23T00:00:00.000Z,"{mineable,pow,sha-256,marketplace,medium-of-exchange,store-of-value,enterprise-solutions,payments,bitcoin-cash-ecosystem,layer-1,2017-2018-alt-season,made-in-america,binance-ecosystem,binance-listing}",21000000.0,19888462.5,19888462.5,False,,12,,,,2025-06-25T07:14:00.000Z,480.1356987492078,521290609.7186965,14.1801,0.83132156,4.40766064,2.14865877,12.47972685,29.26682649,42.51803609,9549160839.484917,0.2913,10082849673.73,,2025-06-25T07:14:00.000Z,,,,,,2025-06-25 12:45:53.844664
20947,Sui,SUI,sui,688,2022-07-12T08:03:11.000Z,"{binance-launchpool,coinbase-ventures-portfolio,binance-labs-portfolio,electric-capital-portfolio,a16z-portfolio,sui-ecosystem,layer-1,move-vm,cmc-crypto-yearbook-2024-2025,made-in-america,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",10000000000.0,3396671135.3644433,10000000000.0,False,,13,3396671135.36,9512725546.361885,,2025-06-25T07:15:00.000Z,2.8006024626089294,1063771375.1711284,-45.3364,0.90986267,-2.06081049,-1.97085826,-23.13610199,-22.10569315,3.25228544,9512725546.374329,0.2902,28006024626.09,,2025-06-25T07:15:00.000Z,,,,,,2025-06-25 12:45:53.844664
1975,Chainlink,LINK,chainlink,2024,2017-09-20T00:00:00.000Z,"{platform,defi,oracles,smart-contracts,ethereum-ecosystem,polkadot,heco-ecosystem,avalanche-ecosystem,solana-ecosystem,framework-ventures-portfolio,polygon-ecosystem,fantom-ecosystem,cardano-ecosystem,terra-ecosystem,web3,near-protocol-ecosystem,arbitrum-ecosystem,cross-chain,cardano,injective-ecosystem,bnb-chain-ecosystem,optimism-ecosystem,real-world-assets,gnosis-chain-ecosystem,sora-ecosystem,hoo-smart-chain-ecosystem,milkomeda-ecosystem,energi-ecosystem,made-in-america,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",,678099970.4527867,1000000000.0,False,,14,,,,2025-06-25T07:15:00.000Z,13.376803358783029,514983165.3593036,-12.4526,0.71544056,1.07783564,2.52569401,-15.69936494,-11.94105159,-14.79673914,9070809962.34351,0.2767,13376803358.78,,2025-06-25T07:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-06-25 12:45:53.844664
3957,UNUS SED LEO,LEO,unus-sed-leo,61,2019-05-21T00:00:00.000Z,"{marketplace,centralized-exchange,discount-token,payments,ethereum-ecosystem,kenetic-capital-portfolio,alameda-research-portfolio}",,923177120.9,985239504.0,False,,15,,,,2025-06-25T07:15:00.000Z,9.023514163162357,2013754.36372173,-32.6422,0.02670469,-1.22200401,-1.67560821,1.44916142,-0.29322673,-7.49054863,8330301825.548597,0.2541,8890322618.45,,2025-06-25T07:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-06-25 12:45:53.844664
1,Bitcoin,BTC,bitcoin,12228,2010-07-13T00:00:00.000Z,"{mineable,pow,sha-256,store-of-value,state-channel,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,galaxy-digital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,bitcoin-ecosystem,layer-1,ftx-bankruptcy-estate,2017-2018-alt-season,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",21000000.0,19883162.0,19883162.0,False,,1,,,,2025-06-25T07:16:00.000Z,106432.37303254499,46274334827.672676,-28.7046,0.20201287,0.85022924,1.48324668,-3.08398897,12.30763016,21.77835756,2116212115050.5232,64.5555,2235079833683.44,,2025-06-25T07:16:00.000Z,,,,,,2025-06-25 12:46:54.257151
